2023-01-13 17:45:28: -- Analysis Started by User Command
2023-01-13 17:45:28: L: State file does not exist: H:/My Drive/code/GitHub/Econ-Teach/_gsdata_/_file_state_v4._gs
2023-01-13 17:45:28: R: State file does not exist: H:/My Drive/code/GitHub/EconTeach/_gsdata_/_file_state_v4._gs
2023-01-13 17:45:30: /.git/COMMIT_EDITMSG: Conflict: New files that differ
2023-01-13 17:45:30: /.git/FETCH_HEAD: Conflict: New files that differ
2023-01-13 17:45:30: /.git/index: Conflict: New files that differ
2023-01-13 17:45:30: /.git/logs/HEAD: Conflict: New files that differ
2023-01-13 17:45:30: /.git/logs/refs/heads/master: Conflict: New files that differ
2023-01-13 17:45:30: /.git/logs/refs/remotes/origin/gh-pages: Conflict: New files that differ
2023-01-13 17:45:30: /.git/logs/refs/remotes/origin/master: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/00/27047bd28003b50a3a2766faf6dd8ce3c1d07f: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/04/4789d7fd2f255a6207ebe6e0366ebc6ff40985: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/05/27b55a4276eb987c9f87d4c3d1c96b409b1809: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/05/7a3f7f6224898e1d9927df8bcca57331a78567: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/15/8a25a196bfb0d3cf8ad8021aa309f48fe42968: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/17/05dc5e03599096a1ccc12dad3431ecbad90d36: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/17/25b19af668733d14c3c8cdb1704df4dca51c02: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/18/22de1900070b086c105d253018a6909054ad78: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/18/44a48843b3e71ea9b92dc0c549d1fad3f615ba: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/18/f16fd0b676021be0974e187fd98461dbd2bc0f: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/1c/6e1d6ccbc6c99b07b9fff53b5d81b9709da9da: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/21/493b8a0a80b5e4c70f8a55933a77fb02837ab8: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/22/890dbf97ce147dddfcc9fa9f05b2b4d682880d: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/24/1864666f09a5a7428876d4326e758b4b4df9e6: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/25/71405dfef7a1dcb65b6c09944b82ba6f7b6235: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/2a/6f6930fbb10ab2544a955cf679cc50b4f31d09: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/2c/772312305c5807226e3b716ab44f9f2be79f7d: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/2c/d460d8dd2cf0d7ff1e009c7c1ccb669fc28a48: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/2d/90a782653ae6ddbbb797a652fdf1ffb43dcc3c: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/33/1f93a089d205b7899378dc0db9394cbb357d56: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/33/f1641e058de73cca5e77c2e3882136accfd65c: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/42/21471da24fd843655f4f77b052122efed4b962: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/44/b598d5b7a7c2f950b5a9e0de1893c3605cb04c: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/45/7e3b1899bac1875a91aa375c713095bd499094: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/48/2bda03cdcb814ec03ffed1b8e54fa2c9a69e20: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/49/cfc62a4058949498a3754cee50300286f18a32: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/4e/2e108d374a86b61543f011e2a20531bdd22aba: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/51/1c379d664b1612b4f9080d13db2c4111a6d78a: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/51/450701de14f98841c71d9aba58fa57a95b7800: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/52/54114914b20bac18151da5f9dd304bd557b93c: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/54/b3c4638111e1d6433fa1a88b87180667db9cf0: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/55/379e209a8e5771a91af17d3322eff5f4631cbc: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/55/b28930599d3b487f27b73932da771069c1f1d2: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/59/4daad67085fcdc1e3b4959db7c7d13c8b474f8: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/5d/291490ce5ac22e0b8f467fddf3f01781dc1dc7: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/5e/d89b15907b2c272fcbea1740f198a18a41451f: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/65/505826564486f66773dc549fe730753f01a5fe: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/6f/1bbfe477748b9cf13e5fec18229f589eef70f8: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/79/bdfb9ca9fd1816aeffdd9472a365f983690ca5: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/7c/cf88b1c07034bc0e5a68b77bf3289789db7884: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/80/368fd775ab8a8d8f60adf442c34b2a66143aac: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/85/964b36b4e3d89536016cf31dda5ecb40fc2d58: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/87/81fc5be0fcf12a146b25ff722bd2466872a5fe: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/8f/96b249ac165d278de1c34090e9ff4728a8bae6: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/92/fad4b5c0b766702548d26ab2be2832e19ad4da: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/93/79157d2cfca3b65b8a2559f984a62e05712b9c: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/93/7f88e828e8166309a1462a06f12aa121f49662: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/94/f19fe0130bb2de4a40f52759d1c5447818a0dc: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/96/0bb69bcb948cd04b1903a6aa71404fbf666546: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/96/9412cf727aa7b188ae41c644b0a5eaa7193fc0: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/96/bfdcb34ef1021a6b74fb88025948f830fa0411: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/9b/57d4a95c9c077acd4de02e9856cd2a64f4d179: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/a0/239f4f40b1485782ebf7a30b20ab8fa9554f2a: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/a0/4cc868519a9f62519e6918156923bac61dff5c: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/a5/f65179244bfee1847d76c42fa148e567df6db2: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/a6/5ba347a086649251759600c02dcfadae2adad3: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/a8/532681d179e9f2f836809ea8099be355770fe8: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/a9/08c1f9b97be70d7cae2d3c59aee84996813e15: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/ab/7d71bb0827d09a0ce7f63bd034a69809937e71: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/ad/e81cc307d49cdca68393b875b13f78ea7fb11a: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/af/2195cbc1f1bcbf537c7512ee23ce62ed4e3969: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/b1/506df8155572122ca2268d5b55569e11d3473b: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/b3/84a001736454f1f977764b768848974a78c74b: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/b5/0feae0928771c6a6d31fcec9a7b2dd2efded33: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/b8/88a20dfb9aa7c666a6b8dbe4a5f505fbfcfb14: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/b9/168c55654b79a2207aa0ef08016ddec4cf4cdd: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/bd/7fa100ef3f5cd519e338ac85822bf510b129be: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/c4/a2f26908a5b3f595fa1d95e14ee95ba30b4421: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/c6/10ca0aed558f12ecace8c59f9ae52f96287e79: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/c9/49b53df3ca92cce1c8b1174585aa992b694e76: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/ce/41c01b1ad0c103d9de4cf76992d7c7eb8c2186: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/cf/723fd851edafa398c5ed163464bedf47960a65: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/d4/c4446bc05661fc3cd354c43d91343dc10ac770: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/da/b77f18baf2040e746e2f98a704f07a62b2e884: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/e0/07f717b4f3f5bb630601b0ffcfa6ed89099e8f: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/e0/ea7388932c584dd18608f370be58b79912c2a8: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/e6/29723b5223730dc33ca8f7620c6ad2739f99b9: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/e9/21c721f76ebffecfcbd0443244108ae30f0920: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/ee/fd1510eb1acc3f26efaf40526d7fe3a94d0afd: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/f1/2b6eb2159c2b29bd100f41161a9a3ebc605287: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/f1/e0bca9b95a65236edc6ade02f5020c06d6c27d: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/f2/1cd61f8df702de96a0b1a604cb517fdfbd0ea2: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/f9/1bd3651ec6824cb8239659ad797929b700dab3: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/fa/829f42180944c505dd0e10f8546968752b515e: Conflict: New files that differ
2023-01-13 17:45:30: /.git/objects/fb/273b58a59d61d45e26a217d17ad4d60b9df11c: Conflict: New files that differ
